"filename", "language", "YAML", "Groovy", "Properties", "Markdown", "Dart", "JSON", "Swift", "C++", "XML", "comment", "blank", "total"
"c:\dev\Videotheque\videotheque_flutter\lib\views\home_view\home_view.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\dev\Videotheque\videotheque_flutter\lib\views\library_view\card_view.dart", "Dart", 0, 0, 0, 0, 140, 0, 0, 0, 0, 5, 2, 147
"c:\dev\Videotheque\videotheque_flutter\lib\views\library_view\carrousel_view.dart", "Dart", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 2, 76
"c:\dev\Videotheque\videotheque_flutter\lib\views\library_view\library_body_view.dart", "Dart", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 4, 118
"c:\dev\Videotheque\videotheque_flutter\lib\views\library_view\library_view.dart", "Dart", 0, 0, 0, 0, 128, 0, 0, 0, 0, 1, 3, 132
"c:\dev\Videotheque\videotheque_flutter\lib\views\movie_view\addtag_view.dart", "Dart", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 4, 102
"c:\dev\Videotheque\videotheque_flutter\lib\views\movie_view\carrousel_view.dart", "Dart", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 5, 76
"c:\dev\Videotheque\videotheque_flutter\lib\views\movie_view\movie_view.dart", "Dart", 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 5, 286
"c:\dev\Videotheque\videotheque_flutter\lib\views\movie_view\tag_view.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 56
"c:\dev\Videotheque\videotheque_flutter\lib\views\movie_view\trailer_view.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\dev\Videotheque\videotheque_flutter\lib\views\person_view\addtag_view.dart", "Dart", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 4, 99
"c:\dev\Videotheque\videotheque_flutter\lib\views\person_view\carrousel_view.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 5, 77
"c:\dev\Videotheque\videotheque_flutter\lib\views\person_view\person_view.dart", "Dart", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 1, 207
"c:\dev\Videotheque\videotheque_flutter\lib\views\person_view\tag_view.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 4, 69
"c:\dev\Videotheque\videotheque_flutter\lib\views\search_view\components\icon_error.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"c:\dev\Videotheque\videotheque_flutter\lib\views\search_view\components\icon_nothing.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\dev\Videotheque\videotheque_flutter\lib\views\search_view\components\icon_search.dart", "Dart", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 2, 48
"c:\dev\Videotheque\videotheque_flutter\lib\views\search_view\components\loading.dart", "Dart", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 2, 113
"c:\dev\Videotheque\videotheque_flutter\lib\views\search_view\result_view.dart", "Dart", 0, 0, 0, 0, 186, 0, 0, 0, 0, 8, 4, 198
"c:\dev\Videotheque\videotheque_flutter\lib\views\search_view\search_view.dart", "Dart", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 4, 169
"c:\dev\Videotheque\videotheque_flutter\lib\views\tv_view\addtag_view.dart", "Dart", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 4, 100
"c:\dev\Videotheque\videotheque_flutter\lib\views\tv_view\carrousel_view.dart", "Dart", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 3, 76
"c:\dev\Videotheque\videotheque_flutter\lib\views\tv_view\episode_view.dart", "Dart", 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 1, 188
"c:\dev\Videotheque\videotheque_flutter\lib\views\tv_view\season_view.dart", "Dart", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 4, 189
"c:\dev\Videotheque\videotheque_flutter\lib\views\tv_view\tag_view.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 3, 58
"c:\dev\Videotheque\videotheque_flutter\lib\views\tv_view\trailer_view.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\dev\Videotheque\videotheque_flutter\lib\views\tv_view\tv_view.dart", "Dart", 0, 0, 0, 0, 327, 0, 0, 0, 0, 0, 2, 329
"c:\dev\Videotheque\videotheque_flutter\lib\webApp.dart", "Dart", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 12, 120
"c:\dev\Videotheque\videotheque_flutter\pubspec.yaml", "YAML", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"Total", "-", 78, 111, 14, 13, 7576, 193, 12, 1, 111, 109, 587, 8805
